,stakes,offer,accept,year,stakes_1,stakes_2,stakes_3,stakes_4,percent_offer,wealth,moneyoffer,SR,C,IN,DaysW
0,200,50,1,2008,0,1,0,0,0.25,1,,0,0,1,0.5
1,200,5,1,2008,0,1,0,0,0.025,1,,0,0,1,0.05
2,20,2,0,2008,1,0,0,0,0.1,1,,0,0,1,0.02
3,200,5,0,2008,0,1,0,0,0.025,1,,0,0,1,0.05
4,2000,500,1,2008,0,0,1,0,0.25,1,,0,0,1,5
5,200,40,0,2008,0,1,0,0,0.2,1,,0,0,1,0.4
6,2000,500,1,2008,0,0,1,0,0.25,1,,0,0,1,5
7,200,1,0,2008,0,1,0,0,0.005,0,,0,0,1,0.01
8,2000,500,1,2008,0,0,1,0,0.25,1,,0,0,1,5
9,20,16,1,2008,1,0,0,0,0.8,1,,0,0,1,0.16
10,20,2,1,2008,1,0,0,0,0.1,1,,0,0,1,0.02
11,200,50,1,2008,0,1,0,0,0.25,1,,0,0,1,0.5
12,200,20,0,2008,0,1,0,0,0.1,1,,0,0,1,0.2
13,20,5,1,2008,1,0,0,0,0.25,1,,0,0,1,0.05
14,20,5,1,2008,1,0,0,0,0.25,1,,0,0,1,0.05
15,200,20,1,2008,0,1,0,0,0.1,1,,0,0,1,0.2
16,200,10,1,2008,0,1,0,0,0.05,0,,0,0,1,0.1
17,2000,1900,1,2008,0,0,1,0,0.95,0,,0,0,1,19
18,2000,100,1,2008,0,0,1,0,0.05,0,,0,0,1,1
19,20,5,1,2008,1,0,0,0,0.25,0,,0,0,1,0.05
20,2000,120,0,2008,0,0,1,0,0.06,0,,0,0,1,1.2
21,200,60,0,2008,0,1,0,0,0.3,0,,0,0,1,0.6
22,20,5,0,2008,1,0,0,0,0.25,0,,0,0,1,0.05
23,20,2,1,2008,1,0,0,0,0.1,0,,0,0,1,0.02
24,200,20,1,2008,0,1,0,0,0.1,0,,0,0,1,0.2
25,200,1,0,2008,0,1,0,0,0.005,0,,0,0,1,0.01
26,200,5,0,2008,0,1,0,0,0.025,0,,0,0,1,0.05
27,20,5,0,2008,1,0,0,0,0.25,0,,0,0,1,0.05
28,200,5,1,2008,0,1,0,0,0.025,0,,0,0,1,0.05
29,20,3,0,2008,1,0,0,0,0.15,0,,0,0,1,0.03
30,20,5,0,2008,1,0,0,0,0.25,0,,0,0,1,0.05
31,200,50,0,2008,0,1,0,0,0.25,0,,0,0,1,0.5
32,20,2,0,2008,1,0,0,0,0.1,0,,0,0,1,0.02
33,200,10,1,2008,0,1,0,0,0.05,1,,0,0,1,0.1
34,200,150,1,2008,0,1,0,0,0.75,1,,0,0,1,1.5
35,20,5,1,2008,1,0,0,0,0.25,1,,0,0,1,0.05
36,2000,250,1,2008,0,0,1,0,0.125,1,,0,0,1,2.5
37,20,6,1,2008,1,0,0,0,0.3,1,,0,0,1,0.06
38,20,5,1,2008,1,0,0,0,0.25,1,,0,0,1,0.05
39,200,20,0,2008,0,1,0,0,0.1,1,,0,0,1,0.2
40,2000,10,0,2008,0,0,1,0,0.005,1,,0,0,1,0.1
41,200,30,1,2008,0,1,0,0,0.15,1,,0,0,1,0.3
42,200,50,1,2008,0,1,0,0,0.25,1,,0,0,1,0.5
43,20,5,0,2008,1,0,0,0,0.25,1,,0,0,1,0.05
44,200,90,1,2008,0,1,0,0,0.45,1,,0,0,1,0.9
45,20,2,1,2008,1,0,0,0,0.1,1,,0,0,1,0.02
46,2000,300,0,2008,0,0,1,0,0.15,0,,0,0,1,3
47,20,2,0,2008,1,0,0,0,0.1,1,,0,0,1,0.02
48,20,2,0,2008,1,0,0,0,0.1,1,,0,0,1,0.02
49,2000,50,0,2008,0,0,1,0,0.025,1,,0,0,1,0.5
50,20,5,0,2008,1,0,0,0,0.25,1,,0,0,1,0.05
51,20,1,1,2008,1,0,0,0,0.05,1,,0,0,1,0.01
52,200,20,1,2008,0,1,0,0,0.1,0,,0,0,1,0.2
53,20,5,1,2008,1,0,0,0,0.25,1,,0,0,1,0.05
54,2000,100,1,2008,0,0,1,0,0.05,1,,0,0,1,1
55,2000,500,1,2008,0,0,1,0,0.25,1,,0,0,1,5
56,20,5,0,2008,1,0,0,0,0.25,1,,0,0,1,0.05
57,2000,50,0,2008,0,0,1,0,0.025,1,,0,0,1,0.5
58,200,100,1,2008,0,1,0,0,0.5,1,,0,0,1,1
59,200,50,0,2008,0,1,0,0,0.25,0,,0,0,1,0.5
60,200,2,0,2008,0,1,0,0,0.01,1,,0,0,1,0.02
