session_id,mode,policy_mode,wealth,stake,rounds,hidden_human_type,accept_rate,avg_offer_share,human_payoff,bot_payoff
1,human_responder_vs_bot_proposer,belief,0,20,5,stake_sensitive,0.8,0.45,37,43
2,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.8,0.45,36,44
3,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.6,0.4,24,36
4,human_responder_vs_bot_proposer,belief,0,20,5,stake_sensitive,0.8,0.5,40,40
5,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.6,0.42,25,35
6,human_responder_vs_bot_proposer,belief,0,20,5,money_maximizer,0.8,0.5,40,40
7,human_responder_vs_bot_proposer,belief,0,20,5,noisy,1,0.45,45,55
8,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.6,0.4,24,36
9,human_responder_vs_bot_proposer,belief,0,20,5,money_maximizer,1,0.39,39,61
10,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.8,0.41,33,47
11,human_responder_vs_bot_proposer,belief,0,200,5,money_maximizer,1,0.115,115,885
12,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,1,0.355,355,645
13,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,1,0.4,400,600
14,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,1,0.4,400,600
15,human_responder_vs_bot_proposer,belief,0,200,5,money_maximizer,1,0.38,380,620
16,human_responder_vs_bot_proposer,belief,0,200,5,noisy,0.6,0.405,240,360
17,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,0.8,0.36,330,470
18,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,0.8,0.445,400,400
19,human_responder_vs_bot_proposer,belief,0,200,5,money_maximizer,1,0.26,260,740
20,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,1,0.44,440,560
21,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.8,0.4,3200,4800
22,human_responder_vs_bot_proposer,belief,0,2000,5,stake_sensitive,1,0.5,5000,5000
23,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.8,0.36,3200,4800
24,human_responder_vs_bot_proposer,belief,0,2000,5,stake_sensitive,1,0.4,4000,6000
25,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.8,0.395,3100,4900
26,human_responder_vs_bot_proposer,belief,0,2000,5,noisy,1,0.4,4000,6000
27,human_responder_vs_bot_proposer,belief,0,2000,5,money_maximizer,1,0.48,4800,5200
28,human_responder_vs_bot_proposer,belief,0,2000,5,money_maximizer,1,0.4,4000,6000
29,human_responder_vs_bot_proposer,belief,0,2000,5,stake_sensitive,1,0.32,3200,6800
30,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.8,0.38,3650,4350
31,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,0.8,0.31,31000,49000
32,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,1,0.405,40500,59500
33,human_responder_vs_bot_proposer,belief,0,20000,5,money_maximizer,1,0.095,9500,90500
34,human_responder_vs_bot_proposer,belief,0,20000,5,noisy,0.8,0.355,28000,52000
35,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,1,0.4,40000,60000
36,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,1,0.425,42500,57500
37,human_responder_vs_bot_proposer,belief,0,20000,5,noisy,0.2,0.425,10000,10000
38,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,1,0.5,50000,50000
39,human_responder_vs_bot_proposer,belief,0,20000,5,noisy,1,0.5,50000,50000
40,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,1,0.5,50000,50000
41,human_responder_vs_bot_proposer,belief,1,20,5,fairness_sensitive,0.8,0.32,29,51
42,human_responder_vs_bot_proposer,belief,1,20,5,noisy,0.8,0.4,39,41
43,human_responder_vs_bot_proposer,belief,1,20,5,noisy,0.4,0.37,16,24
44,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,1,0.35,35,65
45,human_responder_vs_bot_proposer,belief,1,20,5,noisy,0.4,0.35,11,29
46,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,0.8,0.3,30,50
47,human_responder_vs_bot_proposer,belief,1,20,5,fairness_sensitive,0.6,0.31,23,37
48,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,0.8,0.45,40,40
49,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,1,0.4,40,60
50,human_responder_vs_bot_proposer,belief,1,20,5,stake_sensitive,0.8,0.35,30,50
51,human_responder_vs_bot_proposer,belief,1,200,5,stake_sensitive,1,0.375,375,625
52,human_responder_vs_bot_proposer,belief,1,200,5,fairness_sensitive,0.6,0.305,225,375
53,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,1,0.355,355,645
54,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,0.8,0.335,265,535
55,human_responder_vs_bot_proposer,belief,1,200,5,fairness_sensitive,1,0.5,500,500
56,human_responder_vs_bot_proposer,belief,1,200,5,noisy,0.6,0.395,235,365
57,human_responder_vs_bot_proposer,belief,1,200,5,noisy,0.4,0.385,160,240
58,human_responder_vs_bot_proposer,belief,1,200,5,stake_sensitive,0.6,0.385,225,375
59,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,1,0.5,500,500
60,human_responder_vs_bot_proposer,belief,1,200,5,noisy,0.2,0.375,75,125
61,human_responder_vs_bot_proposer,belief,1,2000,5,fairness_sensitive,0.8,0.405,3250,4750
62,human_responder_vs_bot_proposer,belief,1,2000,5,noisy,0.8,0.5,4000,4000
63,human_responder_vs_bot_proposer,belief,1,2000,5,noisy,0.4,0.375,1500,2500
64,human_responder_vs_bot_proposer,belief,1,2000,5,stake_sensitive,1,0.31,3100,6900
65,human_responder_vs_bot_proposer,belief,1,2000,5,noisy,0.8,0.375,3000,5000
66,human_responder_vs_bot_proposer,belief,1,2000,5,fairness_sensitive,1,0.375,3750,6250
67,human_responder_vs_bot_proposer,belief,1,2000,5,fairness_sensitive,0.8,0.26,2550,5450
68,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.375,3750,6250
69,human_responder_vs_bot_proposer,belief,1,2000,5,noisy,0.6,0.4,2400,3600
70,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.375,3750,6250
71,human_responder_vs_bot_proposer,belief,1,20000,5,noisy,0.4,0.375,14000,26000
