session_id,mode,policy_mode,wealth,stake,rounds,hidden_human_type,accept_rate,avg_offer_share,human_payoff,bot_payoff
1,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.6,0.33,24,36
2,human_responder_vs_bot_proposer,belief,0,20,5,stake_sensitive,0.8,0.33,32,48
3,human_responder_vs_bot_proposer,belief,0,20,5,fairness_sensitive,0.6,0.38,23,37
4,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.8,0.4,32,48
5,human_responder_vs_bot_proposer,belief,0,20,5,money_maximizer,1,0.22,22,78
6,human_responder_vs_bot_proposer,belief,0,20,5,noisy,0.6,0.4,25,35
7,human_responder_vs_bot_proposer,belief,0,20,5,stake_sensitive,0.4,0.4,17,23
8,human_responder_vs_bot_proposer,belief,0,20,5,fairness_sensitive,0.8,0.33,32,48
9,human_responder_vs_bot_proposer,belief,0,20,5,fairness_sensitive,0.6,0.32,23,37
10,human_responder_vs_bot_proposer,belief,0,20,5,fairness_sensitive,0.8,0.32,31,49
11,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,0.6,0.325,200,400
12,human_responder_vs_bot_proposer,belief,0,200,5,noisy,0.8,0.075,70,730
13,human_responder_vs_bot_proposer,belief,0,200,5,money_maximizer,1,0.225,225,775
14,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,0.6,0.37,225,375
15,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,0.8,0.37,300,500
16,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,0.6,0.31,225,375
17,human_responder_vs_bot_proposer,belief,0,200,5,fairness_sensitive,0.6,0.325,220,380
18,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,0.8,0.33,310,490
19,human_responder_vs_bot_proposer,belief,0,200,5,money_maximizer,1,0.11,110,890
20,human_responder_vs_bot_proposer,belief,0,200,5,stake_sensitive,0.8,0.295,290,510
21,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.4,0.26,1450,2550
22,human_responder_vs_bot_proposer,belief,0,2000,5,noisy,0.6,0.325,2000,4000
23,human_responder_vs_bot_proposer,belief,0,2000,5,money_maximizer,1,0.06,600,9400
24,human_responder_vs_bot_proposer,belief,0,2000,5,stake_sensitive,0.8,0.245,2400,5600
25,human_responder_vs_bot_proposer,belief,0,2000,5,noisy,0.6,0.25,1800,4200
26,human_responder_vs_bot_proposer,belief,0,2000,5,money_maximizer,1,0.21,2100,7900
27,human_responder_vs_bot_proposer,belief,0,2000,5,noisy,0.8,0.35,2900,5100
28,human_responder_vs_bot_proposer,belief,0,2000,5,fairness_sensitive,0.8,0.385,3200,4800
29,human_responder_vs_bot_proposer,belief,0,2000,5,money_maximizer,1,0.185,1850,8150
30,human_responder_vs_bot_proposer,belief,0,2000,5,noisy,0.6,0.365,2250,3750
31,human_responder_vs_bot_proposer,belief,0,20000,5,money_maximizer,1,0.025,2500,97500
32,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,0.6,0.265,19000,41000
33,human_responder_vs_bot_proposer,belief,0,20000,5,money_maximizer,1,0.025,2500,97500
34,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,0.6,0.26,21000,39000
35,human_responder_vs_bot_proposer,belief,0,20000,5,fairness_sensitive,0.8,0.34,28000,52000
36,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,0.8,0.195,19000,61000
37,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,0.8,0.26,25500,54500
38,human_responder_vs_bot_proposer,belief,0,20000,5,noisy,1,0.025,2500,97500
39,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,0.6,0.025,1500,58500
40,human_responder_vs_bot_proposer,belief,0,20000,5,stake_sensitive,0.6,0.155,14000,46000
41,human_responder_vs_bot_proposer,belief,1,20,5,fairness_sensitive,0.6,0.26,17,43
42,human_responder_vs_bot_proposer,belief,1,20,5,noisy,0.6,0.37,22,38
43,human_responder_vs_bot_proposer,belief,1,20,5,fairness_sensitive,0.8,0.31,29,51
44,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,1,0.17,17,83
45,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,1,0.26,26,74
46,human_responder_vs_bot_proposer,belief,1,20,5,fairness_sensitive,0.6,0.37,23,37
47,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,1,0.2,20,80
48,human_responder_vs_bot_proposer,belief,1,20,5,noisy,0.6,0.38,24,36
49,human_responder_vs_bot_proposer,belief,1,20,5,stake_sensitive,0.8,0.31,30,50
50,human_responder_vs_bot_proposer,belief,1,20,5,money_maximizer,0.8,0.22,21,59
51,human_responder_vs_bot_proposer,belief,1,200,5,fairness_sensitive,0.8,0.34,275,525
52,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,0.8,0.275,270,530
53,human_responder_vs_bot_proposer,belief,1,200,5,stake_sensitive,0.6,0.35,210,390
54,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,1,0.275,275,725
55,human_responder_vs_bot_proposer,belief,1,200,5,noisy,0.6,0.395,210,390
56,human_responder_vs_bot_proposer,belief,1,200,5,stake_sensitive,0.6,0.33,210,390
57,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,1,0.25,250,750
58,human_responder_vs_bot_proposer,belief,1,200,5,fairness_sensitive,0.8,0.36,275,525
59,human_responder_vs_bot_proposer,belief,1,200,5,stake_sensitive,0.8,0.325,300,500
60,human_responder_vs_bot_proposer,belief,1,200,5,money_maximizer,1,0.275,275,725
61,human_responder_vs_bot_proposer,belief,1,2000,5,stake_sensitive,0.6,0.29,1900,4100
62,human_responder_vs_bot_proposer,belief,1,2000,5,noisy,0.6,0.295,2050,3950
63,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.29,2900,7100
64,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.125,1250,8750
65,human_responder_vs_bot_proposer,belief,1,2000,5,fairness_sensitive,0.8,0.325,2650,5350
66,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.29,2900,7100
67,human_responder_vs_bot_proposer,belief,1,2000,5,stake_sensitive,0.8,0.29,2400,5600
68,human_responder_vs_bot_proposer,belief,1,2000,5,fairness_sensitive,0.8,0.365,3050,4950
69,human_responder_vs_bot_proposer,belief,1,2000,5,stake_sensitive,0.8,0.31,2550,5450
70,human_responder_vs_bot_proposer,belief,1,2000,5,money_maximizer,1,0.29,2900,7100
71,human_responder_vs_bot_proposer,belief,1,20000,5,stake_sensitive,0.8,0.33,28000,52000
72,human_responder_vs_bot_proposer,belief,1,20000,5,money_maximizer,1,0.205,20500,79500
73,human_responder_vs_bot_proposer,belief,1,20000,5,fairness_sensitive,0.6,0.29,19000,41000
74,human_responder_vs_bot_proposer,belief,1,20000,5,stake_sensitive,0.8,0.23,20000,60000
75,human_responder_vs_bot_proposer,belief,1,20000,5,noisy,0.6,0.285,18500,41500
76,human_responder_vs_bot_proposer,belief,1,20000,5,money_maximizer,1,0.125,12500,87500
77,human_responder_vs_bot_proposer,belief,1,20000,5,money_maximizer,1,0.205,20500,79500
78,human_responder_vs_bot_proposer,belief,1,20000,5,money_maximizer,1,0.125,12500,87500
79,human_responder_vs_bot_proposer,belief,1,20000,5,stake_sensitive,1,0.125,12500,87500
80,human_responder_vs_bot_proposer,belief,1,20000,5,fairness_sensitive,0.4,0.265,14000,26000
81,human_proposer_vs_bot_responder,belief,0,20,5,money_maximizer,0.2,0.09,18,2
82,human_proposer_vs_bot_responder,belief,0,20,5,stake_sensitive,0.6,0.32,41,19
83,human_proposer_vs_bot_responder,belief,0,20,5,noisy,0.6,0.22,43,17
84,human_proposer_vs_bot_responder,belief,0,20,5,stake_sensitive,0.8,0.29,57,23
85,human_proposer_vs_bot_responder,belief,0,20,5,fairness_sensitive,1,0.41,59,41
86,human_proposer_vs_bot_responder,belief,0,20,5,money_maximizer,0.4,0.11,35,5
87,human_proposer_vs_bot_responder,belief,0,20,5,stake_sensitive,0.8,0.37,49,31
88,human_proposer_vs_bot_responder,belief,0,20,5,stake_sensitive,1,0.34,66,34
89,human_proposer_vs_bot_responder,belief,0,20,5,noisy,0.8,0.26,59,21
90,human_proposer_vs_bot_responder,belief,0,20,5,stake_sensitive,1,0.37,63,37
91,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0.4,0.091,366,34
92,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0.2,0.098,169,31
93,human_proposer_vs_bot_responder,belief,0,200,5,stake_sensitive,0.8,0.317,569,231
94,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0,0.114,0,0
95,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0,0.105,0,0
96,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0.6,0.101,545,55
97,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0,0.119,0,0
98,human_proposer_vs_bot_responder,belief,0,200,5,stake_sensitive,0.6,0.256,450,150
99,human_proposer_vs_bot_responder,belief,0,200,5,money_maximizer,0,0.09,0,0
100,human_proposer_vs_bot_responder,belief,0,200,5,stake_sensitive,0.8,0.26,552,248
101,human_proposer_vs_bot_responder,belief,0,2000,5,stake_sensitive,0.8,0.2386,6089,1911
102,human_proposer_vs_bot_responder,belief,0,2000,5,stake_sensitive,1,0.2275,7725,2275
103,human_proposer_vs_bot_responder,belief,0,2000,5,money_maximizer,0.2,0.1251,1664,336
104,human_proposer_vs_bot_responder,belief,0,2000,5,stake_sensitive,1,0.2136,7864,2136
105,human_proposer_vs_bot_responder,belief,0,2000,5,noisy,0.6,0.1193,4921,1079
106,human_proposer_vs_bot_responder,belief,0,2000,5,stake_sensitive,0.8,0.1662,6628,1372
107,human_proposer_vs_bot_responder,belief,0,2000,5,money_maximizer,0.6,0.1124,5403,597
